County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Abbeville County, South Carolina",43326.84946236559,68.1,24,57.6,20
"Acadia Parish, Louisiana",42345.339622641506,79.6,53,68.6,46
"Accomack County, Virginia",65267.57382550336,91.1,46,76.7,38
"Ada County, Idaho",45272.37037037037,52.2,191,37.6,136
"Adair County, Iowa",53179.632258064514,65.2,8,42.3,5
"Adair County, Kentucky",43175.48379052369,91.2,21,64.5,15
"Adair County, Missouri",46066.47932330827,57.8,15,43.1,12
"Adair County, Oklahoma",44441.89008042895,71.5,18,52.7,13
"Adams County, Colorado",60359.2675,52.6,182,39,133
"Adams County, Illinois",56571.516651665166,74.1,68,50.8,48
"Adams County, Indiana",47387.13627992634,50.2,19,32.9,13
"Adams County, Mississippi",37826.11153846154,69,29,60.6,26
"Adams County, Nebraska",50734.27717391304,62.7,24,45,18
"Adams County, Ohio",47349.90379278446,87.1,32,74.5,27
"Adams County, Pennsylvania",52829.6860670194,59.2,79,41.5,55
"Adams County, Washington",61814.60735009671,37,6,29.9,5
"Adams County, Wisconsin",53807.21988527725,85.7,32,72.7,27
"Addison County, Vermont",53580.338461538464,65.6,30,45.6,20
"Aiken County, South Carolina",30282.5,58.5,122,44,91
"Alachua County, Florida",48447.29420289855,67.8,160,48.6,114
"Alamance County, North Carolina",45981.50673854447,71.3,131,51.8,95
"Alameda County, California",64027.97428023033,46,687,33.4,495
"Albany County, New York",61671.75700365408,73,258,51.2,181
"Albany County, Wyoming",64252.30952380953,40.8,11,29.1,8
"Albemarle County, Virginia",28009.0,41,49,34.1,41
"Alfalfa County, Oklahoma",41195.0,61.2,5,53,5
"Allegany County, Maryland",73060.6840909091,78.1,82,45.7,48
"Allegany County, New York",43078.5,76.9,46,50.7,30
"Allegheny County, Pennsylvania",58307.833333333336,72.5,1193,51.3,862
"Allen County, Indiana",42532.0,61.9,227,44.8,163
"Allen County, Ohio",58627.0,70.4,90,53.5,69
"Allen Parish, Louisiana",35411.0,71.2,19,58.4,16
"Amador County, California",50637.0,58.7,38,47.2,31
"Amelia County, Virginia",18904.0,75.3,13,65.5,11
"Anderson County, South Carolina",32275.4,69.6,166,52.5,124
"Anderson County, Tennessee",44728.819607843136,71.1,75,64.7,69
"Anderson County, Texas",52358.9504178273,78.1,49,70.1,44
"Androscoggin County, Maine",47183.164179104475,78.1,101,60.8,80
"Anne Arundel County, Maryland",117648.5,64.3,364,50.1,277
"Anson County, North Carolina",27692.333333333332,80.5,26,56.3,18
"Antelope County, Nebraska",50497.0,51.1,6,39.7,4
"Apache County, Arizona",50913.67935871743,22.9,16,17.7,12
"Appanoose County, Iowa",28750.0,78.5,15,56.3,11
"Appling County, Georgia",48444.48744460857,74.4,15,56.3,12
"Arapahoe County, Colorado",109574.0,47.5,253,33.7,177
"Archer County, Texas",53638.0,61.5,8,45.9,5
"Arkansas County, Arkansas",41331.044444444444,85.9,21,67.8,17
"Armstrong County, Pennsylvania",47894.75,66.4,67,46.4,48
"Aroostook County, Maine",31718.0,84.1,92,62.2,68
"Ashland County, Ohio",46773.666666666664,61.2,41,53.5,35
"Ashley County, Arkansas",30490.0,77,23,58.6,17
"Ashtabula County, Ohio",27654.0,79.2,103,60,78
"Athens County, Ohio",37213.0,76.6,43,63.1,34
"Atlantic County, New Jersey",72466.352180937,69.9,230,47.9,156
"Attala County, Mississippi",55270.0,62.5,17,57.3,15
"Audrain County, Missouri",33278.0,90.1,29,63.3,21
"Auglaize County, Ohio",64078.5,68.1,40,54.4,31
"Autauga County, Alabama",42071.77380952381,74.9,43,59.3,34
"Avery County, North Carolina",27280.0,65.5,17,49,13
"Avoyelles Parish, Louisiana",29876.5,85.2,42,66.7,33
"Baker County, Florida",43196.0,99.5,27,75.2,21
"Baker County, Oregon",51631.66887417219,65,18,50.4,14
"Ballard County, Kentucky",40216.0,94.3,11,76.1,9
"Baltimore County, Maryland",65640.75,67.6,661,47.8,471
"Banks County, Georgia",32655.0,65.2,13,33.8,7
"Barbour County, Alabama",19528.0,74.6,25,61.3,20
"Barbour County, West Virginia",41449.538860103625,58.8,13,42.9,9
"Barnstable County, Massachusetts",67743.61445783133,60,247,41.5,175
"Barren County, Kentucky",26193.0,106.9,58,73,40
"Barrow County, Georgia",53275.666666666664,89.6,55,63.4,37
"Bartholomew County, Indiana",45877.0,77.8,69,59.2,53
"Bartow County, Georgia",47271.0,91.3,91,63.2,61
"Bath County, Kentucky",23337.0,109,16,77.4,11
"Bayfield County, Wisconsin",36797.0,54.9,14,48.6,12
"Beaufort County, North Carolina",21011.5,83.5,58,59.1,41
"Beaufort County, South Carolina",43437.5,49,124,39,96
"Beaver County, Pennsylvania",35120.0,76.5,192,49.7,129
"Beaverhead County, Montana",45526.86538461538,52,7,28.3,4
"Beckham County, Oklahoma",96500.0,53.8,13,44.7,10
"Bedford County, Pennsylvania",46898.5,51,37,41.2,30
"Belknap County, New Hampshire",62891.97,65.6,56,55.2,46
"Bell County, Texas",82273.0,81.5,200,54.1,130
"Belmont County, Ohio",34767.5,61.3,60,51,51
"Benton County, Arkansas",44983.0,56.4,129,47,106
"Benton County, Indiana",45450.0,82.7,9,79.3,9
"Benton County, Iowa",64833.0,67.5,22,50.2,17
"Benton County, Mississippi",31231.0,61.8,7,46.1,5
"Benton County, Missouri",27671.0,89.1,33,66.7,24
"Benton County, Oregon",57997.0,48.9,43,39.2,35
"Bergen County, New Jersey",96491.3,50.9,580,34.7,402
"Berks County, Pennsylvania",65037.6,64.1,316,42.3,211
"Berkshire County, Massachusetts",69776.0,70,135,47.9,95
"Bernalillo County, New Mexico",46399.0523255814,39.4,277,31.2,216
"Bethel Census Area, Alaska",37830.333333333336,62.7,6,58.3,5
