County,Median_Income,Age-Adjusted Death Rate,Average Deaths per Year
"Abbeville County, South Carolina",43326.84946236559,57.6,20
"Acadia Parish, Louisiana",42345.339622641506,68.6,46
"Accomack County, Virginia",65267.57382550336,76.7,38
"Ada County, Idaho",45272.37037037037,37.6,136
"Adair County, Iowa",53179.632258064514,42.3,5
"Adair County, Kentucky",43175.48379052369,64.5,15
"Adair County, Missouri",46066.47932330827,43.1,12
"Adair County, Oklahoma",44441.89008042895,52.7,13
"Adams County, Colorado",60359.2675,39,133
"Adams County, Illinois",56571.516651665166,50.8,48
"Adams County, Indiana",47387.13627992634,32.9,13
"Adams County, Mississippi",37826.11153846154,60.6,26
"Adams County, Nebraska",50734.27717391304,45,18
"Adams County, Ohio",47349.90379278446,74.5,27
"Adams County, Pennsylvania",52829.6860670194,41.5,55
"Adams County, Washington",61814.60735009671,29.9,5
"Adams County, Wisconsin",53807.21988527725,72.7,27
"Addison County, Vermont",53580.338461538464,45.6,20
"Aiken County, South Carolina",30282.5,44,91
"Aitkin County, Minnesota",58541.76955602537,40.3,13
"Alachua County, Florida",48447.29420289855,48.6,114
"Alamance County, North Carolina",45981.50673854447,51.8,95
"Alameda County, California",64027.97428023033,33.4,495
"Albany County, New York",61671.75700365408,51.2,181
"Albany County, Wyoming",64252.30952380953,29.1,8
"Albemarle County, Virginia",28009.0,34.1,41
"Alcona County, Michigan",48312.73367346939,68.2,17
"Alfalfa County, Oklahoma",41195.0,53,5
"Allegany County, Maryland",73060.6840909091,45.7,48
"Allegany County, New York",43078.5,50.7,30
"Allegheny County, Pennsylvania",58307.833333333336,51.3,862
"Allen County, Indiana",42532.0,44.8,163
"Allen County, Kansas",52375.82671480144,52.2,10
"Allen County, Ohio",58627.0,53.5,69
"Allen Parish, Louisiana",35411.0,58.4,16
"Alpena County, Michigan",33535.0,54.3,25
"Amador County, California",50637.0,47.2,31
"Amelia County, Virginia",18904.0,65.5,11
"Anderson County, Kansas",29869.666666666668,50.6,6
"Anderson County, South Carolina",32275.4,52.5,124
"Anderson County, Tennessee",44728.819607843136,64.7,69
